date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1976-06-30,0.0,0.0,0.0,0.12,0.0,0.0,3.0,5.0,10.0,104.27999877929688,3.69,0.68,104.84,,
1976-07-30,0.0,0.0,0.0,0.02,0.0,0.0,3.0,5.0,10.0,103.44000244140625,3.69,0.85,104.84,-0.00805520087958989,0.0
1976-08-31,0.0,0.0,0.0,0.02,0.0,0.0,3.0,5.0,10.0,102.91000366210938,3.7,1.08,104.84,-0.005123731310786595,0.0
1976-09-30,0.0,0.0,0.0,0.08,1.0,5.0,5.0,10.0,15.0,105.23999786376953,3.65,1.13,107.99,0.022641085596599206,0.03004578405188851
1976-10-29,0.0,0.0,0.0,0.28,1.0,5.0,5.0,10.0,15.0,102.9000015258789,3.65,1.25,107.99,-0.022234857329811904,0.0
1976-11-30,0.0,0.0,0.0,0.0,1.0,5.0,5.0,10.0,15.0,102.0999984741211,3.94,1.35,107.99,-0.007774567929006446,0.0
1976-12-31,0.0,0.0,0.0,0.0,0.5,5.0,5.0,10.0,10.0,107.45999908447266,3.87,1.42,111.67,0.05249755818272751,0.034077229373090163
1977-01-31,0.0,0.0,0.0,0.42,0.5,5.0,5.0,10.0,10.0,102.02999877929688,3.95,1.17,111.67,-0.05053043319782035,0.0
1977-02-28,0.0,0.0,0.0,0.0,0.5,5.0,5.0,10.0,10.0,99.81999969482422,4.1,1.19,111.67,-0.021660287277403083,0.0
1977-03-31,0.0,0.0,0.0,0.0,5.0,1.5,1.5,5.0,10.0,98.41999816894531,4.17,1.33,113.09,-0.014025260770978524,0.012716038327214128
1977-04-29,0.0,0.0,0.0,0.04,5.0,1.5,1.5,5.0,10.0,98.44000244140625,4.17,1.31,113.09,0.00020325414380315945,0.0
1977-05-31,0.0,0.0,0.0,0.0,5.0,1.5,1.5,5.0,10.0,96.12000274658203,4.36,1.06,113.09,-0.02356765174000413,0.0
1977-06-30,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10.0,15.0,100.4800033569336,4.39,1.1,115.4,0.0453599717620337,0.020426209213900454
1977-07-29,0.0,0.0,0.0,0.06,0.0,1.0,5.0,10.0,15.0,98.8499984741211,4.39,0.92,115.4,-0.016222181810864978,0.0
1977-08-31,0.0,0.0,0.0,0.06,0.0,1.0,5.0,10.0,15.0,96.7699966430664,4.56,0.65,116.5,-0.02104200165060429,0.00953206239168106
